MS_ID,Location,Collection,Reference,Headnote,MS_Date,Folia,Place_of_production,Produced_for,Notes,MS_Sources,F_%,L_%,E_%,O_%,F_Sides,L_Sides,E_Sides,O_Sides,total_sides_English,total_sides_French,total_sides_Latin,total_sides_Other,percentage_English,percentage_French,percentage_Latin,percentage_Other
12,Berlin,Deutsche Saatsbibliothek,Lat. qu. 70 (968),Secretum secretorum etc.,s.xiv (2),309,,,"notes in French about the French text in an 18th c hand on fol. 232v; medieval notes on 309v in Latin and German ""Een bilde nach wunsche gheschycket ghar \ hab ich myr urwilt alleyne vor alles meyges ; bloyte / Sey moyt3 mir lieben war ich far ; want sey""","Rose,  Valentin and Fritz Schillmann. ""Verzeichnis der lateinischen Hand- a.schriften der Königlichen Bibliothek zu Berlin."" Vol. II.3 (Hildeshiem: Georg Olms Verlag, 1976).",,,,,,,,,,49.0,568.0,,,7.941653160453808,92.05834683954619,
120,Cambridge,St. John's College,N.13,HOSEBONDERIE,s.xiii / xiv,7 ft 5 in. long by 6 in. broad,,,end points for Latin tracts are based on James' entries and therefore approximate,https://www.joh.cam.ac.uk/library/special_collections/manuscripts/medieval_manuscripts/medman/N_13.htm,,,,,,,,,,2.0,,,,100.0,,
121,Cambridge,St. John's College,S.30,"SOMME LE ROI, ETC.",s.xiv (in),135+3,,,"end points for Latin tracts are based on James' entries and therefore approximate; ""The book most likely belonged to Peterborough.  A flyleaf at the beginning is part of a roll giving lists of names and payments under headings of place-names, three of which remain, namely: ...on Wateruyle, Fletton, Alwolton.""",https://www.joh.cam.ac.uk/library/special_collections/manuscripts/medieval_manuscripts/medman/S_30.htm,,,,,,,,,36.5,232.5,1.0,,13.518518518518519,86.11111111111111,0.3703703703703704,
122b,Cambridge,Sidney Sussex College,36,Liber Precum,s.xiii (ex),198,,,end points for Latin tracts are based on James' entries and therefore approximate; compiled in stages and bound with 4 other volumes; the contents listed reflect the first stage of the manuscript described by James; s.xiv kalendar contains signs of York provenance according to James,"James, M.R. ""A Descriptive Catalogue of the Manuscripts in the Library of Sidney Sussex College, Cambridge."" Cambridge: Cambridge UP, 1895. ; https://archive.org/stream/adescriptivecat11librgoog#page/n34/mode/1up",,,,,,,,,,8.0,250.0,,,3.10077519379845,96.89922480620154,
123,Cambridge,Sidney Sussex College,43,Chronicle of England,s.xiv,190,,,"end points for Latin tracts are based on James' entries and therefore approximate; On the margin of f. 20v is a pen-trial: ""Datum apud Swyneshed pedyct. Sexto die maij. Anno Regni Henrici octaui uicesimo. Resavyd off Mr Elys by the hand of Thomas Holland Junior v s . . .Jhon Hulland. The name Thomas Holland occurs on ff. 88v, 110v, and that of Will. Baxter on f. 190""; ""On f. 63b is a note in blacker ink (cent. xiv) apropos of the slaying of Colebrand by Guy of Warwick.; la test de cet colibraunt est vncore in Wyncestre""","James, M.R. ""A Descriptive Catalogue of the Manuscripts in the Library of Sidney Sussex College, Cambridge."" Cambridge: Cambridge UP, 1895.",,,,,,,,,,369.5,7.5,,,98.0106100795756,1.989389920424403,
124,Cambridge,Trinity College,B.1.45,"SIGILLUM S. MARIAE, ETC.",s.xiii,i+86v+i,,,end points for Latin tracts are based on James' entries and therefore approximate,http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=40,,,,,,,,,13.666666666666668,,156.33333333333331,,8.03921568627451,,91.96078431372547,
126,Cambridge,Trinity College,B.14.40,FEMINA.,s.xv (in),93,,,Now bound with no. 125,http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=185,,,,,,,,,,164.16666666666669,20.833333333333332,,,88.73873873873873,11.261261261261259,
127,Cambridge,Trinity College,O.1.17,"CLEMENTIS RECOGNITIONES, ETC.",s.xiv,276,Lancashire,"Whalley, Lancashire, Cistercian Abbey",Dean gives wrong folio range for the Pleynte d'amour; folios are misnumbered in the manuscript,http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=508,,,,,,,,,,46.0,524.0,,,8.070175438596491,91.9298245614035,
128,Cambridge,Trinity College,O.1.20,MEDICA.,s.xii (in),328,,,,http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=512,,,,,,,,,,607.0,49.0,,,92.53048780487805,7.4695121951219505,
129,Cambridge,Trinity College,O.1.76,STATUTES.,s.xiv (in),133,,,"Post-medieval ownership mark: ""The name Robert Peyton (xvii) occurs on f.86""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=574,,,,,,,,,,241.0,15.0,,,94.140625,5.859375,
130a,Cambridge,Trinity College,O.2.5,MISCELLANEA MATHEMATICA.,s.xiv,211 + 10,,,"Paginated; bound with one other volume; end points for Latin tracts are based on James' entries and therefore approximate; ""on p.194 is the inscription (xiv, xv) Kymer law kymro et i- les.""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=634,,,,,,,,,3.5,110.5,297.0,,0.851581508515815,26.885644768856448,72.26277372262774,
131,,,,,,,,,,,,,,,,,,,,194.0,,,,100.0,,
131b,Cambridge,Trinity College,O.2.14,SECRETA SECRETORUM.SERMONES MAURITII ETC. GALLICE.,s.xiii,107 (a and b),,,,http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=634,,,,,,,,,,,,,,,,
132c,Cambridge,Trinity College,O.2.21,GALFR. MONUMETENSIS ETC.,s.xiv (in),21,,,Bound with 2 other parts,http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=642,,,,,,,,,0.3333333333333333,28.0,13.666666666666668,,0.7936507936507934,66.66666666666666,32.53968253968254,
133,Cambridge,Trinity College,O.2.29,"HERMAE PASTOR,BASILIUS ETC.",s.xiii,178+4,,,"""Judging from the presence of a collect for S. Ethelburga at the end, the book ought to have belonged to Barking Abbey, or to a London house. [Ker (1964) rejects Barking.]""; ""First quire in a different hand and not mentioned in 13th C table of contents. On the verso of 178 in a hand of cent. xv (late) is Assit plebi tue omnipotens deus beate virginis Ethelburge supplicacio ut quicunque eius gaudent honore protegantur auxilio  · per.""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=650,,,,,,,,,,106.5,234.5,,,31.2316715542522,68.76832844574781,
134,Cambridge,Trinity College,O.2.45,MISCELLANEA. CERNE ABBEY.,s.xiii (2),131,Dorset,"""From Cerne Abbey: in the Kalendar is St Edwold, and there are many verses relating to Cerne on p.11. St Edmund of Canterbury (canonised in 1248) is in the Kalendar.""","On the first leaf is the name  ""William Armiger, natus fuit 1569 sepult. 1638 ap""; ""Stuck to the cover is a leaf of a service-book with a lesson for St Vincent and music on a four line stave (xii). There is also a slip of an early xivth cent. MS. containing one column on each side of a French version of 2 Maccabees e.g. Ceus qui o lui estoient et les despecierent par pieces et puis lur coulpirent les chies et les giterent hors. En toz ces choses seit deus benoiz qui a destruit les desloiaus pur ce que nous fussioms deliurés etc. At the end are two leaves of other MSS: 1. Part of a leaf of a xiiith cent. Vulgate in double columns, containing parts of John viii-xi. 2. A leaf of a Breviary (xvth cent. English) with lessons for St Lucy on the exposed side.""  Table of contents contains works that are now missing ""The missing portions of the manuscript came into the hands of J. O. Halliwell, who sold them to Rodd, from whom they were purchased by the British Museum in 1838. They now form MS. Egerton 843, ff. 48""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=668,,,,,,,,,0.5833333333333333,19.083333333333332,307.3333333333333,,0.1783893985728848,5.835881753312946,93.98572884811416,
135,Cambridge,Trinity College,O.3.45,STATUTES ETC.,s.xiv,69+2,,,"end points for Latin tracts are based on James' entries and therefore approximate; ""On the verso of the flyleaf is the price xxd (xv) and several beginnings of deeds in which the name Joh. Punchardoun occurs. On the lower margin of f.4b is a similar scribble with the words Johannes Punchardoun de manerio suo de Jordanstoun et eciam(?) de Preston Lydiard.Also on ff.45b, 46aA. Moun. Sir. Henr. Spygurnel and a ces Compaygn. Justic. mre Seygnur le Roy sy pleygne John. de (?) Tecton cum (?) Walton.A Moun. Sir. John Yng""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=735,,,,,,,,,,,,,,,,
136,Cambridge,Trinity College,O.4.32,TRIVETI ANNALES ETC.,s.xiv (ex),116,,,"Early modern ownership marks:  ""f.1 Guilliaume Le Neve Clarencieux Roy d'Armes et chevaleir du Roy qui tire son origine de quatre principaux Barons de Flandres"" and ""on f.116bGillielmus Neve Eques auratus constitutus et creatus per honoratiss. Regem Carolum primum.""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=786,,,,,,,,,,230.0,,,,100.0,,
137a,Cambridge,Trinity College,O.5.32,PROGNOSTICA.MEDICA.,s.xiv (in),28,,,"Bound with 1 other part;""The name Thomas Richards (xv, xvi) is scribbled several times on margins.""  ""on fol.10a a xivth cent. scribble: ven. et discrete viro d. Thome capellano parochie de Tho. and on f.10b: iiijd. O (?) Johannes lake dec. de godeword(?).----- Rob. Dubber pro iii an. in pastur? dni. iijd. -- R.. lake(?) non habet Johem Weler(?).""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=843,,,,,,,,,,56.00000000000001,,,,100.0,,
137b,Cambridge,Trinity College,O.5.32,PROGNOSTICA.MEDICA.,s.xv,31,,,Bound with 1 other part,http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=843,,,,,,,,,0.3333333333333333,30.333333333333332,30.333333333333332,,0.5464480874316939,49.72677595628415,49.72677595628415,
138b,Cambridge,Trinity College,O.7.9,SERMONES ETC.,s.xiii (med),36,,,"Bound with 3 other parts; first part ""From Buildwas Abbey. On the flyleaf is (xiii) liber sc?e Marie de buldewas Sermones petri manducatorisqui bene wlt disponereLiber elencorum et quedam alia.""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=916,,,,,,,,,,8.833333333333334,63.166666666666664,,,12.268518518518519,87.73148148148148,
139b,Cambridge,Trinity College,O.7.37,MEDICA.,s.xiii (med),32,,,"Bound with two other ""volumes"". ""f.f.139-146 were left blank. Various xivth and xvth cent. hands have written receipts on them.""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=900,,,,,,,,,,3.0,46.0,,,6.122448979591836,93.87755102040816,
140c,Cambridge,Trinity College,O.8.27,MEDICA.,s.xiii,19,,,"Bound with 2 other parts (this part foliated seperately); in part one: "" The name D. Sellin on f.1.""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=936,,,,,,,,,,5.5,32.5,,,14.473684210526317,85.52631578947368,
141,Cambridge,Trinity College,O.9.10,MEDICA.,s.xv,144+4,,,"end points for Latin tracts are based on James' entries and therefore approximate; at end of ""Inc. Pronosticaciones et Fortuna""  there is "" a dog with scroll Bewar of my shappe.""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=955,,,,,,,,,31.333333333333332,1.0,368.6666666666667,,7.813798836242726,0.24937655860349126,91.93682460515379,
142,Cambridge,Trinity College,O.9.26,STATUTES ETC.,s.xiv,133+6,,,"end points for Latin tracts are based on James' entries and therefore approximate;""with additions of cent. xv.""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=972,,,,,,,,,0.5,77.0,186.5,,0.1893939393939394,29.166666666666668,70.64393939393939,
143,Cambridge,Trinity College,O.9.34,ROMANCE OF ALEXANDER.,s.xiii (med),46,Hertfordshire,"""St Albans, Hertfordshire, Benedictine Abbey""","Some quires missing; James writes ""The work is excellent: and the style of both drawing, colouring and writing inclines me to hazard the conjecture that the birthplace of the volume was St Alban's Abbey""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=981,,,,,,,,,,88.0,,,,100.0,,
144,Cambridge,Trinity College,R.3.2,GOWER,s.xv,154,,,,http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=1372,,,,,,,,,294.0,9.5,3.5,,95.76547231270358,3.0944625407166124,1.1400651465798046,
145,Cambridge,Trinity College,R.3.32,"LIVRE DES DOUZE PAIRS, ETC.",s.xv (ex),118,,,,http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=1387,,,,,,,,,,236.0,,,,100.0,,
146,Cambridge,Trinity College,R.3.46,VIE DE ST PIERRE ETC.,s.xiii,372,,,,http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=1403,,,,,,,,,,711.0,22.0,,,96.99863574351978,3.0013642564802185,
147b,Cambridge,Trinity College,R.3.56,THEODULI ECLOGA ETC.,s.xiii (in),121,,,Bound with 2 other parts,http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=1414,,,,,,,,,,0.6666666666666666,46.33333333333333,,,1.4184397163120568,98.58156028368793,
148,Cambridge,Trinity College,R.4.26,ROBERT OF GLOUCESTER.,s.xiv,170,,,"""The tops of two fly-leaves which might have had owners' names are gone. On f.1 is Merlinus 1553.""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=1449,,,,,,,,,314.0,8.0,3.0,,96.61538461538461,2.4615384615384617,0.9230769230769231,
149,Cambridge,Trinity College,R.5.32,BRUTE.ROBERT OF AVESBURY.,s.xv,105,,,"""On f.105a in a series of medallions is the descent of Edward III. from St Louis, and the other descendants of the same.""; Dean lists no. 407 as being in this MS but it is in O.5.32 ",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=1540,,,,,,,,,,205.5,1.5,,,99.27536231884058,0.7246376811594203,
150,Cambridge,Trinity College,R.5.40,WILLELMUS MALMESBURIENSIS ETC.,s.xv,85,,,"Parts from the 13th and 14th century; by the 15th century the MS was in its current shape; digital version newly foliated (with two ff.57s); ""From York? On f.1 at bottom is (xvi): Liber Johan?is Armytagi; On this same leaf are xvth cent. copies of Bury and Ely documents, and on the next is an old table of contents cut at the top. On the third, which is reversed, is a title (xv) in a large hand: liber ecclesie metropolitane beati petri ebor. /Augustini de uerbis domini et apostoli. /Ex dono magri Johannis Neuton Thesaurarii eiusdem. [He was Master of Peterhouse (1381-95) and gave the MSS numbered 45, 162, 167 in James' Catalogue to the College.]""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=1549,,,,,,,,,,2.5,151.5,,,1.6233766233766231,98.37662337662337,
151,Cambridge,Trinity College,R.7.14,THE FRENCH BRUTE CHRONICLE.,s.xiv (ex),149,,,"""Multiple parts"" according to James; both dated late 14th C by Dean",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=1575,,,,,,,,,,294.0,,,,100.0,,
152,Cambridge,Trinity College,R.7.23,VARIA,s.xiv,130,,,"Paginated; ""The fly-leaves are bits of a copy of a comment on the Pauline Epistles, of cent. xiii early.""","Mooney, Linne R. The Index of Middle English Prose, Handlist XI (Cambridge: Brewer,1995), p. 154 ; http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=1585",,,,,,,,,,,,,,,,
153,Cambridge,Trinity College,R.14.7,VARIA,s.xiii (ex),4+216,,,"""four fly-leaves: another leaf sewn on to the 4th""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=1157,,,,,,,,,,392.5,2.5,,,99.36708860759494,0.6329113924050633,
154,Cambridge,Trinity College,R.14.30,VARIA,s.xiv,146,Kent,Benedictine abbey of St Augustine,"""136 ff. (numbered 113-242).""; ff.229-234 and ff.236-end may have circulated separately",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=1125 ; http://mlgb3.bodleian.ox.ac.uk/mlgb/book/1433/,,,,,,,,,,313.5,152.5,,,67.27467811158799,32.72532188841202,
155,Cambridge,Trinity College,R.14.31,CHIRURGICA,s.xii,248,,,"Sixteenth-century inscription on fol. ii recto: ""Iohannes Twini senior""; on f.  247v: mat(er) cu(n)ctor(u)m salua cetu(m) monachor(u)m/ Spes infirmor(u)m miser(an)s miserer(e) tuoru(m); a similar inscription is found in the 12th C Corpus Christi College Cambridge MS 312, where it is attributed to one ""Bachon"" f. iiv. The latter MS was also owned by St. Augustine's Canterbury (KM)",http://www.mirabileweb.it/manuscript/cambridge-trinity-college-r-14-31-(904)-manoscript/141434 ; http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=1126,,,,,,,,,,1.0,487.0,,,0.20491803278688525,99.79508196721312,
156,Cambridge,Trinity College,R.16.2,THE TRINITY APOCALYPSE,s.xiii (med),32+3,,,"Early modern inscription: "" Given by Dame Anne Sadleir. On the fly-leaf she has written: I commit this booke to the custodie of the Right Reuerend Father in God Raffe Lo: Bishop of Exon, when times are better setled (which God hasten) it is with my other booke & my coins giuen to Trinitie Colledge Librarie in Cambridge, God in his good time restore her with her Sister Oxford to there pristine happiness, the Vulger People to there former obedience, and God bles? and restore Charles the Second, & make him like his most glorious Father. Amen. 
August the 20tie. 1649. Anne Sadleir.""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=1199,,,,,,,,,,58.0,,,,100.0,,
157,Cambridge,Trinity College,R.17.1,TRIPARTITUM PSALTERIUM EADWINI (THE CANTERBURY PSALTER),s.xii (med),285,Kent,"""Christ Church, Canterbury""","""The original wooden boards, with remains of a xvith cent cover with good gold tooling. A metal boss in the centre of each cover has a Tudor rose. Clasps gone. The volume has been rebacked.""",http://trin-sites-pub.trin.cam.ac.uk/james/viewpage.php?index=1229,,,,,,,,,183.91666666666714,182.91666666666714,199.16666666666714,,32.494110718492344,32.31743227326267,35.188457008244995,
158,Cambridge,Pembroke College,10,Bonaventura,s.xiii / s.xiv,410,,,"end points for Latin tracts are based on James' entries and therefore approximate; ""From Bury""","James, M.R. ""A Descriptive Catalogue of the Manuscripts in the Library of Pembroke College, Cambridge."" Cambridge: Cambridge UP, 1905.",,,,,,,,,,2.0,818.0,,,0.24390243902439024,99.7560975609756,
159,Cambridge,Pembroke College,46,Cato Gallice etc.,s.xiii,81+4,,,"end points for Latin tracts are based on James' entries and therefore approximate; ""From Bury, on flyleaf (Boston's hand?): Liber monachorum S. Edmundi de dono ffratis Thome de Strouteby in quo subscripta continentur"" etc. ; ""On 29a a scriblle Johannem de Fleymsthorp etc.""","James, M.R. ""A Descriptive Catalogue of the Manuscripts in the Library of Pembroke College, Cambridge."" Cambridge: Cambridge UP, 1905.",,,,,,,,,,100.0,60.0,,,62.5,37.5,
160,Cambridge,Pembroke College,87,Excerpta etc.,s.xiii / s.xiv,225+2,,,"end points for Latin tracts are based on James' entries and therefore approximate; ""From Bury. On flyleaf: Lib. Monach. S. Edm. In quo subscripta cont. E. 11""","James, M.R. ""A Descriptive Catalogue of the Manuscripts in the Library of Pembroke College, Cambridge."" Cambridge: Cambridge UP, 1905.",,,,,,,,,,29.666666666666668,416.3333333333333,,,6.651718983557549,93.34828101644244,
161,Cambridge,Pembroke College,101,SERMONES ETC.,s.xiii (in),131,,,end points for Latin tracts are based on James' entries and therefore approximate,"James, M.R. ""A Descriptive Catalogue of the Manuscripts in the Library of Pembroke College, Cambridge."" Cambridge: Cambridge UP, 1905. ; https://archive.org/stream/adescriptivecat09librgoog#page/n138/mode/2up",,,,,,,,,,0.8333333333333333,256.1666666666667,,,0.3242542153047989,99.67574578469521,
162b,Cambridge,Pembroke College,103,Liber de Sacramentis etc.,s.xiii,42,,,end points for Latin tracts are based on James' entries and therefore approximate; bound with 1 other volume; French tract added xiv / xv,"James, M.R. ""A Descriptive Catalogue of the Manuscripts in the Library of Pembroke College, Cambridge."" Cambridge: Cambridge UP, 1905.",,,,,,,,,,0.5,84.5,,,0.5882352941176471,99.41176470588235,
163e,Cambridge,Pembroke College,111,Excerpta.,s.xiii,7,,,"end points for Latin tracts are based on James' entries and therefore approximate; bound with 4 other volumes;  ""From Bury. On flyleaf: Lib. De communitate monachorum S. Edm. in quo cont. etc.""","James, M.R. ""A Descriptive Catalogue of the Manuscripts in the Library of Pembroke College, Cambridge."" Cambridge: Cambridge UP, 1905.",,,,,,,,,,12.5,0.5,,,96.15384615384616,3.8461538461538463,
164e,Cambridge,Pembroke College,112,Excerpta de Moralibus Gregoroii etc.,s.xii / xiii,26,,,"end points for Latin tracts are based on James' entries and therefore approximate; bound with 4 other volumes; ""xvth cent. title"" on the back; ""perhaps from Bury""","James, M.R. ""A Descriptive Catalogue of the Manuscripts in the Library of Pembroke College, Cambridge."" Cambridge: Cambridge UP, 1905.",,,,,,,,,,49.0,,,,100.0,,
165,Cambridge,Pembroke College,113,Iuvenalis et Persius,s.xii (ex),42,,,"end points for Latin tracts are based on James' entries and therefore approximate; ""very probably from Bury""","James, M.R. ""A Descriptive Catalogue of the Manuscripts in the Library of Pembroke College, Cambridge."" Cambridge: Cambridge UP, 1905.",,,,,,,,,,2.0,81.0,,,2.4096385542168677,97.59036144578313,
166e,Cambridge,Pembroke College,258,Narrationes etc.,s.xiv,34,,,end points for Latin tracts are based on James' entries and therefore approximate; bound with 6 other volumes,"James, M.R. ""A Descriptive Catalogue of the Manuscripts in the Library of Pembroke College, Cambridge."" Cambridge: Cambridge UP, 1905.",,,,,,,,,,2.0,66.0,,,2.941176470588235,97.05882352941177,
